id,department_id,name,description,icon,gradient,featured_at,created_at,updated_at,slug
15,1,Events,"This is a collection of our events.
We host first-time Co-Lab user events called First Fridays which are held on the first Friday of each month during the academic year. These events are come as you are, with no previous skills needed to participate. 
We also host Open House events which introduce users to various facets of the Co-Lab.
Ladies' Night is a women-only event which introduces users to various facets of the Co-Lab.",FaAirFreshener,1,,2022-08-15 13:12:24.844172,2023-11-21 15:08:43.886624,Events
16,1,Python Software Development,"Learn all about Python with this track, starting with an introduction and working your way up to using Django. ",FaTv,1,,2022-08-17 14:11:26.798504,2023-11-21 15:08:43.917432,Python-Software-Development
17,1,Machine Learning and Data Science,Learn how to use machine learning to analyze data and identify patterns. ,FaChartBar,1,,2022-08-17 14:15:58.809609,2023-11-21 15:08:43.939404,Machine-Learning-and-Data-Science
18,1,Programming Fundamentals,Learn the fundamentals of programming before tackling a language.,FaCubes,1,,2022-08-17 14:19:20.578884,2023-11-21 15:08:43.959597,Programming-Fundamentals
19,1,System and Dev Ops,"Learn about Linux and Bash, Docker, and virtual machines. ",FaLaptopCode,1,,2022-08-17 18:02:17.384896,2023-11-21 15:08:43.979321,System-and-Dev-Ops
20,1,Databases,What exactly is SQL and how do you use it? This track covers all of that and more. ,FaDatabase,1,,2022-08-17 18:04:58.948152,2023-11-21 15:08:44.004105,Databases
21,1,E-Textiles,Fashion meets technology. Learn how to create clothing that lights up!,FaTshirt,1,2023-03-17 17:21:01.485262,2022-08-17 18:07:27.916496,2023-11-21 15:08:44.021938,E-Textiles
22,1,Hardware,"Before software developing, we need hardware! Come learn about the hardware that makes our world possible. ",FaToolbox,1,,2022-08-17 18:42:35.998005,2023-11-21 15:08:44.040903,Hardware
23,1,3D Modeling,"Come learn about 3C modeling, from modeling by hand using 3D pens to making your own furniture using CNC.",FaCube,1,,2022-08-17 18:47:51.809582,2023-11-21 15:08:44.060671,3D-Modeling
24,1,Sewing Basics,We can do all kinds of things with needles. Come learn how to sew with us and see what you can make!,FaHandScissors,1,,2022-08-17 18:50:22.574046,2023-11-21 15:08:44.081016,Sewing-Basics
25,1,Embroidery Basics,Come learn more about needle art! ,FaAllergies,1,,2022-08-17 19:06:16.712366,2023-11-21 15:08:44.097893,Embroidery-Basics
26,1,One-Off Fun,"Not everything fits into a nice little box, and we like it that way! Come take a break from your studies and join us for some good, clean (or very messy) fun!",FaBowlingBall,1,,2022-08-17 19:10:09.470358,2023-11-21 15:08:44.118861,One-Off-Fun
27,1,Laser Cutting,"Lasers. We can do all kinds of magic with them, from making cats bounce off walls to levitating objects (!!!). Sadly, we will not be doing either of these things, but we will be doing something just as fun: cutting things with lasers. ",FaEye,1,,2022-08-17 23:30:15.611700,2023-11-21 15:08:44.140472,Laser-Cutting
28,1,Casting,"Casting is the process of using a mold to make something liquid into that shape. Think: pouring cake batter into a train shaped cake pan. In this track, you will learn how to cast with different materials and how to make your own molds.",FaGlassWhiskey,1,2023-03-17 17:21:01.650960,2022-08-17 23:41:05.456152,2023-11-21 15:08:44.159476,Casting
29,1,User Experience (UX) & User Interface (UI),"Learn about the importance of user experience and user interface in web and application design. From the discovery phase to research to creating a project sketch and user testing, we walk you through the entire process so you can make sure your prototype is the best version of itself possible. ",FaUsers,1,,2022-08-17 23:50:02.451927,2023-11-21 15:08:44.179058,User-Experience-(UX)-&-User-Interface-(UI)
30,1,Research Computing- Data Visualization,"
Whether you are a researcher looking to learn how to better display your data, or anyone wanting to learn more about computing resources at Duke, you may want to check out this track’s offerings! Dive into our Shiny series and impress your peers!
This track is a product of collaboration with Duke Research Computing, and works nicely as a supplement to the Data and Visualizations workshops offered by the library!",FaChartPie,1,,2022-08-17 23:53:07.799145,2023-11-21 15:08:44.198272,Research-Computing--Data-Visualization
